node_id,page_rank
13322,5.0424047020177076e-05
13394,4.842497506180983e-05
5366,0.00011795536528857076
18391,6.213184299302279e-05
16909,7.649248235717503e-05
18633,8.195792189151719e-05
21844,6.647527239943399e-05
21845,6.65046728163013e-05
6227,6.092034042060343e-05
22348,7.686189233024781e-05
14527,0.00010314801540028864
14530,8.27418721226126e-05
27842,6.0583055670777225e-05
27847,7.81585038743554e-05
7383,8.65086210566338e-05
29044,4.9557372224463654e-05
20477,5.834667345507773e-05
2794,7.791883494399942e-05
2115,4.7634753328895505e-05
29564,0.0001281113832046665
26593,5.964251726317219e-05
4090,7.790384496308191e-05
7888,6.009981915424646e-05
30439,5.911290958611604e-05
18013,5.370804802792834e-05
28801,5.299272305334982e-05
12204,2.8812364246693477e-05
28422,6.894458082266165e-05
3972,3.3261435707702684e-05
21214,8.462877882725058e-05
30738,6.26101750651965e-05
23624,6.313168267657977e-05
2415,7.986593945616855e-05
6402,5.652146091676663e-05
14531,7.993444176935069e-05
27220,6.26354064483175e-05
9139,5.019728719635452e-05
9138,7.206700381556422e-05
179,7.350375154941378e-05
29050,5.257720280700729e-05
3686,5.454383107221968e-05
21003,5.3128220460564406e-05
15714,6.825406979418366e-05
26814,6.521277003767024e-05
1713,8.410104119567705e-05
17698,3.3105935554305076e-05
8983,5.29114506778672e-05
8984,9.865779040304739e-05
23578,7.617434436036361e-05
28989,3.086110317539416e-05
22154,6.626015164347206e-05
22155,6.390013840112333e-05
24649,8.150550981373599e-05
24670,8.609805396383804e-05
23528,7.176219817934032e-05
3617,5.043677836660632e-05
2506,4.740874326103467e-05
2550,9.058279835870163e-05
4014,8.621523026875215e-05
7803,8.809502969305227e-05
1518,9.096107645234619e-05
30030,6.686556563551463e-05
2051,5.637982179736854e-05
22061,5.862162087455758e-05
4797,9.228564417211469e-05
28535,4.8982640148511564e-05
6600,8.718756739798479e-05
19051,4.835773637831002e-05
2461,0.00012079878875595468
9244,4.457111490779153e-05
12523,7.19817702674195e-05
13004,7.16815093182665e-05
19231,6.207590294522143e-05
19232,6.178824260537124e-05
2470,6.310862112205177e-05
20332,6.458953321226381e-05
30358,7.350585736086806e-05
30359,5.9477356578444736e-05
4256,3.585229534419547e-05
21401,9.375624091032838e-05
6382,3.8194469545640956e-05
6384,6.801777864149768e-05
19532,6.208282161521069e-05
19531,5.899370266558396e-05
2830,0.00011290051721283138
30796,6.550126463436284e-05
8640,7.948193091710009e-05
23216,6.257244275169105e-05
769,8.147980394375187e-05
28515,0.00014476467041375757
6511,7.208738790795378e-05
22471,7.29738209831876e-05
29880,6.55856454572257e-05
5883,6.822943073162279e-05
3205,0.0001161760211842381
3767,4.639409488040888e-05
2573,2.6936325923493842e-05
29592,0.00016617800592652287
2027,9.817055568831388e-05
2028,0.00020013193856463675
9876,5.264586351437085e-05
18868,7.630857023654052e-05
6790,0.00013641244932391128
24876,5.469821694639787e-05
28544,0.00010413051476386296
26318,7.825021761455236e-05
19257,7.976648611854307e-05
364,0.00010200174837478765
26175,8.004545818538424e-05
26862,8.984480694071678e-05
24339,8.964478591007527e-05
10830,6.020530919133298e-05
9107,5.608851290043395e-05
8807,5.592868421933217e-05
8817,8.440066990612275e-05
28968,0.0001530409301652772
30322,5.555585019357107e-05
9757,7.107485570378178e-05
6320,2.941593802796127e-05
27737,7.403559291759929e-05
17056,3.0254948686802857e-05
14892,4.927200965713929e-05
26510,7.111839153343299e-05
22771,5.1449495300376215e-05
7512,0.00011834228855998655
24790,5.2657970971023515e-05
11801,0.00011984285388160263
10817,5.505431036051401e-05
10818,5.5401711630092575e-05
6128,5.4825985988671315e-05
28614,5.314404369007035e-05
26065,7.668488689707337e-05
23449,9.075434016711837e-05
1227,0.00020403714661919385
31130,4.373640192556706e-05
24615,6.213526978989005e-05
24616,7.971829880833379e-05
4541,0.0001386124393777946
9993,0.00011392606378197702
23365,5.501110095045802e-05
23366,5.502867561604896e-05
1190,9.404438675925575e-05
19689,7.868192707126276e-05
8712,0.0001585687829117923
23254,6.711701567907992e-05
5461,5.424479713703739e-05
21999,5.627861871859527e-05
5452,8.76737184867347e-05
7839,7.286865859095534e-05
8309,4.855024152384712e-05
28829,9.907687054769467e-05
16548,5.846335688325425e-05
16549,4.1003049442825885e-05
8353,9.757902811839196e-05
23090,7.580715691768298e-05
2068,0.00011607139352874554
18734,6.631087195008021e-05
5045,3.0262822405270718e-05
20631,7.405327072622795e-05
27621,6.874066563111736e-05
16101,8.299447774543539e-05
10296,3.42953310084316e-05
23974,8.826377910510605e-05
5255,6.071954767017677e-05
5256,5.999492597505041e-05
4385,9.448906145374006e-05
24739,6.82861776347666e-05
25387,5.51646343939688e-05
25294,5.688777788535078e-05
6055,6.0551526630898846e-05
7421,5.9811129989056086e-05
1723,8.003631377295086e-05
10491,5.483059540867762e-05
13653,7.244933484778932e-05
21840,7.838447226470857e-05
13642,8.282945477538483e-05
