node_id,eig_centr
13322,1.6016271501234137e-10
13394,6.752440051315759e-10
5366,1.0466879924527456e-16
18391,7.159634821810691e-17
16909,4.992138466033471e-21
18633,6.742585142103089e-21
21844,3.610845833073778e-14
21845,1.700803305195464e-14
6227,6.730681560897364e-08
22348,1.3596445117372527e-07
14527,1.4032736931881099e-13
14530,9.043934963849157e-14
27842,2.5812182886252253e-07
27847,7.244415140489415e-08
7383,1.8796061187361088e-13
29044,5.1152421977605344e-14
20477,2.7948064428382903e-08
2794,1.9361601246735563e-08
2115,4.1443810367426217e-14
29564,1.4049483405085458e-13
26593,2.4493231805483707e-10
4090,1.0425885148815408e-09
7888,6.123691840114262e-15
30439,2.304012164376915e-14
18013,1.810086200947864e-17
28801,3.057833890126167e-17
12204,1.5349615168148762e-11
28422,6.447523101685247e-11
3972,7.695550281115601e-20
21214,2.6689494897686905e-19
30738,1.4632164349214592e-07
23624,1.4863881651974178e-07
2415,2.555313859429265e-16
6402,7.061839731721216e-17
14531,2.066323101018467e-13
27220,2.8188748469424596e-13
9139,8.781532254231478e-11
9138,2.0021869327617505e-10
179,1.226077281510248e-15
29050,5.571259476708461e-16
3686,1.0990014609300011e-16
21003,8.109328424233757e-17
15714,3.009911227982564e-14
26814,1.195384300172947e-13
1713,1.852694758198059e-14
17698,4.356143772628001e-15
8983,3.091823168552167e-15
8984,1.1480891062771676e-14
23578,8.195945104871893e-16
28989,2.0930847730409181e-16
22154,0.00534913385279577
22155,0.021140412163250254
24649,7.601017470399507e-12
24670,1.4896327893817004e-11
23528,3.9480511577012496e-16
3617,4.2609002526757347e-16
2506,9.041421640120274e-15
2550,5.84072544024853e-15
4014,5.974632890124392e-10
7803,5.519518525492113e-10
1518,6.155225042462502e-15
30030,5.765291490919996e-15
2051,2.676362030961755e-14
22061,6.166909559536815e-15
4797,4.073884003676905e-13
28535,2.9758255926964347e-13
6600,1.3992180721799402e-18
19051,5.607707998439803e-19
2461,3.790776909261242e-14
9244,1.7154794610904282e-14
12523,5.3607940057745346e-15
13004,6.487697865180984e-15
19231,5.61746287358183e-09
19232,1.3397509202059421e-08
2470,2.7620049246595562e-15
20332,1.3811559929786483e-15
30358,4.680458260059593e-07
30359,8.425818068601024e-08
4256,2.1053967468661233e-16
21401,8.54444443095356e-16
6382,1.0131160160828595e-16
6384,3.9490465536571825e-16
19532,7.687645893619644e-10
19531,1.6854893893212922e-09
2830,7.320483180838403e-08
30796,1.4267239036319426e-08
8640,4.629683367543658e-17
23216,3.357539375811359e-17
769,2.7815611736293746e-11
28515,9.00187277730105e-11
6511,1.4090354541107898e-18
22471,2.0931830804441074e-18
29880,2.288847503283751e-13
5883,5.090528799048797e-13
3205,8.918002012614037e-14
3767,5.31371392392821e-14
2573,2.3455008938532066e-07
29592,1.343841220229165e-06
2027,2.843118806065951e-10
2028,7.37332563434074e-10
9876,1.1986955211600358e-16
18868,1.953882256180264e-16
6790,1.5043977683809353e-09
24876,8.979389476592927e-10
28544,8.083490146180008e-18
26318,1.9678962778315185e-18
19257,9.424626404885631e-10
364,4.441335558654857e-09
26175,1.3798921507471806e-16
26862,3.6582125734998506e-17
24339,3.919135439599109e-20
10830,1.1763218518225669e-19
9107,4.7825641019736234e-11
8807,2.7615347152556632e-14
8817,8.057669793193767e-15
28968,0.0002677655380380266
30322,7.052581303968661e-05
9757,1.4263359543597882e-13
6320,3.7346654977204106e-14
27737,5.01672640729142e-16
17056,1.3686882522490334e-16
14892,2.1544881905775977e-20
26510,4.2950945330737306e-20
22771,4.655324598260755e-17
7512,1.7009633251802095e-16
24790,1.907721603719278e-14
11801,7.746329294910062e-14
10817,1.3078981567334513e-18
10818,4.564518567321767e-19
6128,2.03844191389951e-12
28614,8.481463497486464e-12
26065,1.3395234672261713e-17
23449,3.729918079943798e-17
1227,4.463476339638297e-09
31130,1.2540247353310455e-08
24615,3.980262418974832e-12
24616,2.140929921747055e-12
